Team ID	Team Name	Deck 1	Deck 2	Deck 3	Deck 4
20268	IWishIWasAtSugrloaf	AAECAf0GBMnCApfTAoniAtvpAg2TBPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAZ8FBtwDqsECucECg8cCieYCt+cCDKcF9AX1BdkHsQi7rwK4xwLZxwLjywL40gLR4QLW5QIA	AAECAa0GBMrDAsLOAtDnAvzqAg0IjQjyDIK1Arq7AvC7AtnBAp/CApnIAsrLAs7MAsvmAtfrAgA=	AAECAf0EBMABvwijtgKi0wINcbsClQOrBOYElgXsBde2Auu6Aoe9AsHBApjEAo/TAgA=
20384	Coyotes	AAECAaoIBuUH3boClL0CkcECtssC688CDIEE8AeTCfqqAvuqAqC2Aoe8AtG8Ava9Avm/AuvCAt/pAgA=	AAECAR8GgAeoqwKFuALp0gKG0wLy6gIMjQGoArUDhwTJBNsJ/gz4sQLd0gLf0gLj0gLh4wIA	AAECAZICBPIFrqsClL0CmdMCDUBf5Ai0uwLLvALdvgKgzQKHzgKU0gKY0gKe0gLb0wKE5gIA	AAECAf0EBMkD4KwCysECm9MCDU2KAcABqwTLBJYF+wy/wQLBwQKYxALIxwKW5ALN6wIA
20465	Sleepy Dragons	AAECAf0GBsQIzAjgrAKbwgKX0wLY5wIM8gXbBrYH4QfexALnywLy0AL40AKI0gL85QLq5gLo5wIA	AAECAa0GAuG/AtDnAg4IjQjyDIK1Arq7AvC7AtnBAsrDApnIAsrLAs7MAsvmAvzqAtfrAgA=	AAECAZ8FBMUD8gWKB7nBAg3bA6cFrwenCLEI06oC2a4C07wCs8ECncICscIC48sC+NICAA==	AAECAf0EBsABqwS/COu6Atm7AqLTAgxxuwKVA+YElgXsBaO2Ate2Aoe9AsHBApjEAo/TAgA=
18920	Vert&Or	AAECAf0ECMABxQSjtgKhtwLBwQKgzgKb0wKj6wILTYoByQPsB/sMysMC38QClscC1eEC1+ECluQCAA==	AAECAaToAgTFA9wDpwW5wQIN2wPyBacIsQjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gLW5QIA	AAECAZ/HAgSIrwLhvwLZwQLQ5wINCI0I8gyCtQK6uwLwuwLKwwKZyALKywLOzALL5gL86gLX6wIA	AAECAf0GCIoB8gXECMwI4KwCoM4Cl9MC2OcCC9sGtgebwgLexALnywLy0AL40AKI0gL85QLq5gLo5wIA
19136	Spirit ECO	AAECAf0GAvIFysMCDjDVA/cEzgfCCPYItKwCvLYCx7sCybsC980C8dAC8tAC0eECAA==	AAECAa0GAqEGpQkO+ALlBI0I0QryDIK1ArW7Arq7AvC7AtHBAtjBAsrDAsvmAvzqAgA=	AAECAf0EBMABwwGrBKLTAg1xuwKVA+YElgXsBaO2Ate2Auu6Aoe9AsHBApjEAo/TAgA=	AAECAQcE8gXgrAKgzgKf0wINS5EG+Af7DIKtAsbDAt7EAqLHAsrNAszNAo7OAvHTAs/lAgA=
20425	Missed Lethal	AAECAa0GBIoHoM4C0OcC/OoCDQiNCPIMgrUCursC8LsC2cECysMCmcgCyssCzswCy+YC1+sCAA==	AAECAf0EBuwH08UCoM4Cws4Cm9MCo+sCDE2KAckDo7YCysMClscC0dMC29MC1eEC1+ECluQC1+sCAA==	AAECAcn1AgTECJfTAp3iAtvpAg2KAZME9wS2B40I3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAR8GgAeoqwKFuALp0gKG0wLy6gIMjQGoArUDyQSXCNsJ/gz4sQLd0gLf0gLj0gLh4wIA
19879	Missed Lethal	AAECAa0GBrQDpQnTCqirAoW4AsLOAgyXAtcKoawCt7sC6L8C6r8C0cEC5cwC5swCtM4C6NAC4+kCAA==#	AAECAZ8FArnBAq/CAg7FA9sDpwXyBa8HpwjTqgLZrgLTvAKzwQKdwgKxwgLjywL40gIA#	AAECAf0GDJMB8gXbBrYHxAjMCOCsApPHAqDOAqbOApfTAtjnAgmbwgLexALfxALnywLy0AKI0gL70wL85QLo5wIA#	AAECAR8GgAfFCKirAoW4AunSAobTAgyNAagCtQPJBJcI2wn+DPixAt3SAt/SAuPSAuHjAgA=#
19254	TJJ	AAECAf0GBpME8gXJwgKX0wKd4gLb6QIM9wS2B+EHxAjexALnywLy0AL40AKI0gKL4QL85QLo5wIA	AAECAa0GCPIFigeiCeG/AsrDAs7MAtDnAvzqAgsI4QSNCPIMgrUCursC8LsCmcgCyssCy+YC1+sCAA==	AAECAY0WBKsEvwiP0wKi0wINcbsClQPmBJYF7AWjtgLXtgLrugLZuwKHvQLBwQKYxAIA	AAECAYO6AgjIA5sFqAi5vwKxzgKA0wLf4wK77wILigHEAe0CywPNA/gHhgmprwKpzQLl0QLb4wIA
19133	UCLA	AAECAf0GAvIFxAgOMNUD9wTOB8II9gi8tgLHuwLJuwKbywL3zQLx0ALy0ALR4QIA	AAECAaIHBIbCAs/hAtvjAsPqAg3EAZwC7QKfA4gF1AXjBfgHhgn4vQKXwQL8wQLH0wIA	AAECAf0EBKsE67oC3s0CotMCDXG7ApUD5gSWBewFo7YC17YCh70CwcECmMQCj9MC0eECAA==	AAECAZ8FArnBAojHAg7FA9sD/gOnBeMFrwfQB6cI06oC2a4C07wCs8ECncICscICAA==
20215	TTU Team 3	AAECAf0EBMABvwiP0wKi0wINcbsClQPmBJYF7AWjtgLXtgLrugLZuwKHvQLBwQKYxAIA	AAECAf0GBpMEycICl9MCneIC2OcC2+kCDPcEtgfhB8QI3sQC58sC8tAC+NACiNICi+EC/OUC6OcCAA==	AAECAR8IjQHJBIAH6asCx64C6dIChtMC4eMCC6gCtQOHBJcIxQj+DPixAt3SAt/SAuPSAurjAgA=	AAECAZ8FBK8EucECps4Ct+kCDacF1AXyBfUFrwfZB7EI2a4CuMcC48sClc4C+NIC1uUCAA==
